id,kind,src,video,poem,type,work,title,prompt
CINEOSIS-COLLAGE-011,image,cut/out/collage/poem_08.webp,,08 NEWLY SINGLE,opsign and sonsign,collage · collage,Rain on glass turns a whole city into something that happens to a surface.,"Fixed shot through a rain-covered window for six minutes. Beyond it a street exists only as smeared colour. Drops accumulate, merge, run, and clear a momentary lens through which something almost resolves and is lost. No one wipes the glass. No one arrives. Sound is only rain, glass, and distantly a city that will not be reached. Nothing in the frame can be responded to."
CINEOSIS-COLLAGE-012,image,cut/out/collage/poem_09.webp,,"09 YET, HEARD",icon,collage · collage,A burst of blue light behind two silhouettes turns an encounter into a shape.,"Two people face each other against a hard blue radial burst that blows out every feature. Hold. Do not cut to what either of them sees, and never light their faces. The entire event is the minute change in the gap between the two silhouettes as the burst breathes. When the light finally drops enough to show a face, end the shot immediately."
CINEOSIS-COLLAGE-013,image,cut/out/collage/poem_10.webp,,10 MAGIC RIDE,any-space-whatever,collage · collage,A night road made of yellow lights is a journey with the journey taken out.,"A night road with no car and no camera-in-a-car. Lamps recede in a yellow-green chain. Things pass through frame at the speed of a vehicle — a sign, a rail, a rectangle of light — but nothing is travelling. The road itself has the momentum. Hold until the absence of a traveller becomes the subject rather than an omission."
CINEOSIS-COLLAGE-014,image,cut/out/collage/poem_11.webp,,11 NEW DAY,body of gest,collage · collage,Two men walking on white ground: the world subtracted until only conduct is left.,"White void, a colonnade in yellow light far behind. Two men walk the same line in opposite directions. Repeat the crossing many times with small variations: one hesitates, one shortens his stride, one carries something, one does not look. Never explain their relation. The meaning must accumulate only from the series of crossings, and vanish if the crossings are reordered."
CINEOSIS-COLLAGE-015,image,cut/out/collage/poem_12.webp,,12 REUNION,sheets of the past,collage · collage,A grey tunnel of mist is a place that has already had everything happen in it.,"One continuous slow move down a misty street. At each depth a different decade is in progress: nearest figures present-day, mid-ground twenty years back, the far end further still. No dissolves, no flashback cues. Walking forward is going backward. Let a figure from one layer step into another and be unremarked. The street is the archive."
CINEOSIS-COLLAGE-016,image,cut/out/collage/poem_13.webp,,13 HOW TO WIN MY HEART,body of attitude,collage · collage,"A man in blue smoke, assembled from three shots, is a portrait that will not settle.","A man in dark glasses in blue smoke. Film him as three overlapping performances of the same moment, offset by fractions of a second and a few degrees of posture. Never resolve them into one body. When he turns, the three turns do not arrive together. Do not use ghosting effects — shoot three real bodies occupying one intention. No name, no dialogue."
CINEOSIS-COLLAGE-017,image,cut/out/collage/poem_14.webp,,14 HOT MINUTE,quotidian,collage · collage,A red figure in bokeh: the everyday and the catastrophic at the same exposure.,"A woman in a red coat stands at a crossing among ordinary city lights, waiting. She checks a phone. She shifts her weight. The light does not change. Keep the action entirely mundane and the colour entirely extreme. Somewhere off-frame something enormous is audible and never explained, and she does not react because she has heard it before. Give the burnt-out streetlamp as much attention as the sound."
CINEOSIS-COLLAGE-018,image,cut/out/collage/type_a-light.webp,,,gaseous perception,collage · collage,Four hundred and ninety-nine lights on black become a constellation with no sky.,"Pure black. Hundreds of small lights of every colour and shape drift at different rates — some flare, some are steady, some are the smeared trace of a light that moved during exposure. No lamp, no window, no street ever appears to explain any of them. Let them cluster into something that feels like a skyline, then let it disperse. The film is a city seen only as its emissions."
CINEOSIS-COLLAGE-019,image,cut/out/collage/type_a-person.webp,,,dividual,collage · collage,Three hundred and sixteen people stacked make a mass with no face and no edge.,"A slow-moving mass of bodies, warm brown and mauve, so densely overlapped that no individual can be followed for more than a second. Occasionally one shoulder, one turn of a head, one hand becomes briefly distinct and is reabsorbed. The mass breathes as one. Never cut to a face. Feeling must travel across the whole body of it and never belong to anyone."
CINEOSIS-COLLAGE-020,image,cut/out/collage/type_a-window.webp,,,any-space-whatever,collage · collage,Two hundred and forty-eight windows agree on one thing: where the light gets in.,"An interior assembled only from openings. Teal rectangles of daylight at incompatible scales hang in a dim room whose walls are never shown. Light moves across them as if from one sun, though they cannot share one. Nobody enters. Hold long enough that the room's expectancy becomes its own event."
CINEOSIS-COLLAGE-021,image,cut/out/collage/type_a-building.webp,,,milieu,collage · collage,Two hundred and twenty buildings stacked make one building that cannot be built.,"A city that is only massing: grey-blue facades at every scale piled into one wall, with a strip of street-level activity along the bottom of frame. Follow one figure walking that strip. Every gesture — how far they keep from the wall, where they cross, what they look up at — should make the city's pressure more legible. Never show a whole building and never show the sky."
CINEOSIS-COLLAGE-022,image,cut/out/collage/type_a-wall.webp,,,any-space-whatever,collage · collage,A hundred and seventy-six walls become a surface with weather on it.,"A single wall filling the frame for its entire duration. Light crosses it, damp rises through it, paint lifts, a shadow of something unseen passes. At the bottom edge, small coloured things accumulate and are cleared away. Nothing is in front of the wall. The wall must acquire tension, expectancy and power without anyone arriving to give it any."
CINEOSIS-COLLAGE-023,image,cut/out/collage/type_a-human-face.webp,,,dividual,collage · collage,Ninety-nine faces over one another produce a face that belongs to no one and looks back.,"A face slowly assembling from many faces. Begin with an unreadable blue-brown mass. Over four minutes let features arrive from different people — one person's eyes, another's mouth, another's jaw — never settling into a single face, always nearly one. At the right edge of frame, one whole woman's face remains sharp and unmerged throughout, watching. Do not cut to what she sees. End when the centre almost becomes her and does not."
CINEOSIS-COLLAGE-024,image,cut/out/collage/type_the-sky.webp,,,gaseous perception,collage · collage,Ninety-eight skies produce weather that no day ever had.,"A sky that is all skies at once. A hot white core with pale blue radiating from it, crossed by orange streaks that behave like lens artefacts rather than light. Cloud forms assemble and are overrun by other cloud forms at a different scale. No horizon and no ground. Time of day changes continuously without ever passing through dusk. Nothing observes it."
CINEOSIS-COLLAGE-025,image,cut/out/collage/type_a-hand.webp,,,symptom,collage · collage,"Sixty-three hands, scattered and small, on a page that is mostly empty.","A pale empty field. Hands enter one at a time from nowhere, each already mid-gesture — gripping, pointing, reaching, cupping — hold, and leave. There is never anything to grip, point at, reach for, or hold. The gestures come faster. They begin to repeat. The film must make it clear that some force is moving these hands and that it is not intention."
CINEOSIS-COLLAGE-026,image,cut/out/collage/type_a-person-in-mid-air.webp,,,originary world,collage · collage,"Fifty-seven bodies in the air, on black, become one long red fall.","Darkness with a red-brown weight at its centre. Bodies in the air — falling, thrown, jumping, floating — arrive continuously from every direction and pass through one another without collision. There is no floor and no ceiling and no one lands. The same primitive force clearly governs all of it. Do not explain what the force is. Let a body occasionally slow almost to stillness before being taken again."
CINEOSIS-COLLAGE-027,image,cut/out/collage/type_a-road.webp,,,vector,collage · collage,Fifty-six roads averaged into a horizontal smear: direction without destination.,"A road seen from a fixed height, running left to right across frame. Nothing travels the whole length. Instead, separate journeys occupy separate stretches of it — a cyclist here, a truck there, someone walking a dog further along — none of them ever meeting. Slowly it becomes clear they are all on the same road at the same time. One pale structure stands at the centre and every journey passes it."
CINEOSIS-COLLAGE-028,image,cut/out/collage/type_a-lamp.webp,,,fetish,collage · collage,Forty-six lamps on black are objects that carry their own reason to be looked at.,"Black. Forty-six lamps hang in the void, each lit, each lighting nothing but itself. Approach one — a small yellow shade. As you approach, the others dim. The room these lamps came from never appears. Something in the object is clearly held rather than emitted. Do not switch it off and do not reveal a hand."
CINEOSIS-COLLAGE-029,image,cut/out/collage/type_a-bed.webp,,,imprint,collage · collage,Forty-six beds make a low teal mound: the place the whole archive keeps returning to.,"A low teal mound in the dark, breathing very slightly, filmed as landscape rather than furniture. Hold on it. Over time, the impressions of bodies that have lain there rise and fade in the surface — not ghosts, just depressions that fill in slowly, as if the material had memory and was slow to forget. No one is in it. No one comes."
CINEOSIS-COLLAGE-030,image,cut/out/collage/type_a-neon-sign.webp,,,lectosign,collage · collage,Forty-two signs from seven shots: language reduced to colour and left unread.,"Black. Vertical strips of saturated neon colour, each obviously a word, none of them resolvable. Move past them as if along a street. Occasionally two strips align and almost form a phrase before separating. Show partial letters. Show a sign reflected in water where it is briefly more readable than the sign itself. Never let a full word be read. The viewer must assemble the street's language and fail."
CINEOSIS-COLLAGE-031,image,cut/out/collage/type_water.webp,,,liquid perception,collage · collage,Fifty-eight waters make a bright collision of surfaces that were never adjacent.,One continuous take through water in all its states. Begin on rain hitting a road; follow the runoff to a gutter; follow the gutter to a river; the river's surface becomes a reflection; the reflection becomes a window with rain on it; the rain becomes spray from a passing vehicle. Attention is handed on at each transfer and never returns. No character and no destination — only the passage of perceptual privilege through one substance.
CINEOSIS-COLLAGE-032,image,cut/out/collage/type_a-door.webp,,,index of lack,collage · collage,"Ten doors on a nearly empty page: too few to average, too many to ignore.","A pale empty room-sized field with a handful of doors standing in it, unattached to any wall. Someone opens the first: behind it, more of the same emptiness. They cross to the second and open it. Each opening reveals one more fact about a building that is not there — a draught, a sound, a change of floor. The situation is assembled entirely from what the doors imply and never shown."
CINEOSIS-COLLAGE-033,image,cut/out/collage/type_a-staircase.webp,,,index of equivocity,collage · collage,"Ten staircases: an orange flight, a dark frame, and the two never meet.","Two staircases in one space, at incompatible angles and scales — one hot orange and domestic, one dark and industrial. A figure climbs. Depending on which stair the camera favours, the same ascent reads as escape or as descent into a plant. Every new action supports both. Never establish which building this is, and never let the two stairs be seen to meet."
CINEOSIS-COLLAGE-034,image,cut/out/scene/01_PLATE.webp,,01 OUT OF LIFE,any-space-whatever,collage · scene,"OUT OF LIFE as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A drowned teal bedroom that will not hold its edges. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-035,image,cut/out/scene/02_PLATE.webp,,02 FLASHING LIGHTS,any-space-whatever,collage · scene,"FLASHING LIGHTS as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. An orange stairwell burning at the top of a building. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-036,image,cut/out/scene/03_PLATE.webp,,03 HOW TO BREAK OFF AN ENGAGEMENT,any-space-whatever,collage · scene,"HOW TO BREAK OFF AN ENGAGEMENT as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A bokeh street where a heart has been printed on a chest. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-037,image,cut/out/scene/04_PLATE.webp,,04 NEVERMORE,any-space-whatever,collage · scene,"NEVERMORE as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. An olive room with one lit arch and a bottle too near the lens. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-038,image,cut/out/scene/05_PLATE.webp,,05 BLOODLINES,any-space-whatever,collage · scene,"BLOODLINES as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A red interior where the bones are on the outside. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-039,image,cut/out/scene/06_PLATE.webp,,06 RESURRECTING ATLANTIS,any-space-whatever,collage · scene,"RESURRECTING ATLANTIS as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A pale colonnade whose columns are people. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-040,image,cut/out/scene/07_PLATE.webp,,07 DJ TURN ME UP,any-space-whatever,collage · scene,"DJ TURN ME UP as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A club street built out of vertical neon slabs. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-041,image,cut/out/scene/08_PLATE.webp,,08 NEWLY SINGLE,any-space-whatever,collage · scene,"NEWLY SINGLE as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A city that only exists on the far side of wet glass. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-042,image,cut/out/scene/09_PLATE.webp,,"09 YET, HEARD",any-space-whatever,collage · scene,"YET, HEARD as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A blue burst with two silhouettes inside it. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-043,image,cut/out/scene/10_PLATE.webp,,10 MAGIC RIDE,any-space-whatever,collage · scene,"MAGIC RIDE as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A night road with the traveller removed. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-044,image,cut/out/scene/11_PLATE.webp,,11 NEW DAY,any-space-whatever,collage · scene,"NEW DAY as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A white ground, a colonnade, and two men crossing. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-045,image,cut/out/scene/12_PLATE.webp,,12 REUNION,any-space-whatever,collage · scene,"REUNION as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A grey street holding several decades at different depths. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-046,image,cut/out/scene/13_PLATE.webp,,13 HOW TO WIN MY HEART,any-space-whatever,collage · scene,"HOW TO WIN MY HEART as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. A blue haze with a man in it three times. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-047,image,cut/out/scene/14_PLATE.webp,,14 HOT MINUTE,any-space-whatever,collage · scene,"HOT MINUTE as a place you could stand in, assembled from things that were never adjacent.","A place that was never photographed. An ordinary crossing at maximum saturation. Hold it as a fixed frame with no one in it. Light crosses it from a source that could not exist given its geometry. Small things move at the wrong scale — something distant passes too fast, something near too slow. Do not resolve the perspective and do not send anyone in. The location must acquire expectancy on its own, and the film ends before it is used for anything."
CINEOSIS-COLLAGE-048,image,cut/out/scene/01_01-out-of-life.webp,,01 OUT OF LIFE,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-049,image,cut/out/scene/02_02-flashing-lights.webp,,02 FLASHING LIGHTS,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-050,image,cut/out/scene/03_03-how-to-break-off-an-engagement.webp,,03 HOW TO BREAK OFF AN ENGAGEMENT,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-051,image,cut/out/scene/04_04-nevermore.webp,,04 NEVERMORE,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-052,image,cut/out/scene/05_05-bloodlines.webp,,05 BLOODLINES,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-053,image,cut/out/scene/06_06-resurrecting-atlantis.webp,,06 RESURRECTING ATLANTIS,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-054,image,cut/out/scene/07_07-dj-turn-me-up.webp,,07 DJ TURN ME UP,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-055,image,cut/out/scene/08_08-newly-single.webp,,08 NEWLY SINGLE,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-056,image,cut/out/scene/09_09-yet-heard.webp,,"09 YET, HEARD",limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-057,image,cut/out/scene/10_10-magic-ride.webp,,10 MAGIC RIDE,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-058,image,cut/out/scene/11_11-new-day.webp,,11 NEW DAY,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-059,image,cut/out/scene/12_12-reunion.webp,,12 REUNION,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-060,image,cut/out/scene/13_13-how-to-win-my-heart.webp,,13 HOW TO WIN MY HEART,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-061,image,cut/out/scene/14_14-hot-minute.webp,,14 HOT MINUTE,limpid and opaque,collage · scene,The same place in ink: the photograph and the dot field trade which one is real.,"Two versions of one place, cut against each other: the photographic assemblage, and the same place in eight weights of black ink with a single blue. Begin by treating the photograph as real and the ink as its diagram. Then let the ink move first — a dot field shifts and, a beat later, the photograph catches up. Then let something appear in the ink that has no counterpart in the photograph and stay there. End with the photograph looking like a memory of the dots."
CINEOSIS-COLLAGE-062,image,cut/out/sheets/01_01-out-of-life.webp,,01 OUT OF LIFE,cinema of the brain,collage · cutsheet,The cutsheet puts the place on a diagram and prints its own confidence beside it.,"A city drawn as a working diagram on a pale ground. Skylines assembled from photographic fragments stand over a baseline of numbers. Leader lines connect five faces to their confidence scores and the scores tick as the camera moves. In the margin a running tally of nouns rises. When the two describers disagree, print the disagreement over the image and leave it there. The camera never enters the city; it reads it. Nothing is resolved and nothing is hidden."
CINEOSIS-COLLAGE-063,image,cut/out/sheets/02_02-flashing-lights.webp,,02 FLASHING LIGHTS,cinema of the brain,collage · cutsheet,The cutsheet puts the place on a diagram and prints its own confidence beside it.,"A city drawn as a working diagram on a pale ground. Skylines assembled from photographic fragments stand over a baseline of numbers. Leader lines connect five faces to their confidence scores and the scores tick as the camera moves. In the margin a running tally of nouns rises. When the two describers disagree, print the disagreement over the image and leave it there. The camera never enters the city; it reads it. Nothing is resolved and nothing is hidden."
